Wells: 384
Plates: 8
Plate	Well	Content
*	*	empty
*	[A,C,E,G,I,K,M,O]23	neg
*	[B,D,F,H,J,L,N,P]23	siKiller
*	[A,C,E,G,I,K,M,O]24	siLMNB
*	[B,D,F,H,J,L,N,P]24	pos
1	A01	sample
1	A10	sample
1	A11	sample
1	A12	sample
1	A13	sample
1	A14	sample
1	A15	sample
1	A16	sample
1	A17	sample
1	A18	sample
1	A19	sample
1	A02	sample
1	A20	sample
1	A21	sample
1	A22	sample
1	A03	sample
1	A04	sample
1	A05	sample
1	A06	sample
1	A07	sample
1	A08	sample
1	A09	sample
1	B01	sample
1	B10	sample
1	B11	sample
1	B12	sample
1	B13	sample
1	B14	sample
1	B15	sample
1	B16	sample
1	B17	sample
1	B18	sample
1	B19	sample
1	B02	sample
1	B20	sample
1	B21	sample
1	B22	sample
1	B03	sample
1	B04	sample
1	B05	sample
1	B06	sample
1	B07	sample
1	B08	sample
1	B09	sample
1	C01	sample
1	C10	sample
1	C11	sample
1	C12	sample
1	C13	sample
1	C14	sample
1	C15	sample
1	C16	sample
1	C17	sample
1	C18	sample
1	C19	sample
1	C02	sample
1	C20	sample
1	C21	sample
1	C22	sample
1	C03	sample
1	C04	sample
1	C05	sample
1	C06	sample
1	C07	sample
1	C08	sample
1	C09	sample
1	D01	sample
1	D10	sample
1	D11	sample
1	D12	sample
1	D13	sample
1	D14	sample
1	D15	sample
1	D16	sample
1	D17	sample
1	D18	sample
1	D19	sample
1	D02	sample
1	D20	sample
1	D21	sample
1	D22	sample
1	D03	sample
1	D04	sample
1	D05	sample
1	D06	sample
1	D07	sample
1	D08	sample
1	D09	sample
1	E01	sample
1	E10	sample
1	E11	sample
1	E12	sample
1	E13	sample
1	E14	sample
1	E15	sample
1	E16	sample
1	E17	sample
1	E18	sample
1	E19	sample
1	E02	sample
1	E20	sample
1	E21	sample
1	E22	sample
1	E03	sample
1	E04	sample
1	E05	sample
1	E06	sample
1	E07	sample
1	E08	sample
1	E09	sample
1	F01	sample
1	F10	sample
1	F11	sample
1	F12	sample
1	F13	sample
1	F14	sample
1	F15	sample
1	F16	sample
1	F17	sample
1	F18	sample
1	F19	sample
1	F02	sample
1	F20	sample
1	F21	sample
1	F22	sample
1	F03	sample
1	F04	sample
1	F05	sample
1	F06	sample
1	F07	sample
1	F08	sample
1	F09	sample
1	G01	sample
1	G10	sample
1	G11	sample
1	G12	sample
1	G13	sample
1	G14	sample
1	G15	sample
1	G16	sample
1	G17	sample
1	G18	sample
1	G19	sample
1	G02	sample
1	G20	sample
1	G21	sample
1	G22	sample
1	G03	sample
1	G04	sample
1	G05	sample
1	G06	sample
1	G07	sample
1	G08	sample
1	G09	sample
1	H01	sample
1	H10	sample
1	H11	sample
1	H12	sample
1	H13	sample
1	H14	sample
1	H15	sample
1	H16	sample
1	H17	sample
1	H18	sample
1	H19	sample
1	H02	sample
1	H20	sample
1	H21	sample
1	H22	sample
1	H03	sample
1	H04	sample
1	H05	sample
1	H06	sample
1	H07	sample
1	H08	sample
1	H09	sample
1	I01	sample
1	I10	sample
1	I11	sample
1	I12	sample
1	I13	sample
1	I14	sample
1	I15	sample
1	I16	sample
1	I17	sample
1	I18	sample
1	I19	sample
1	I02	sample
1	I20	sample
1	I21	sample
1	I22	sample
1	I03	sample
1	I04	sample
1	I05	sample
1	I06	sample
1	I07	sample
1	I08	sample
1	I09	sample
1	J01	sample
1	J10	sample
1	J11	sample
1	J12	sample
1	J13	sample
1	J14	sample
1	J15	sample
1	J16	sample
1	J17	sample
1	J18	sample
1	J19	sample
1	J02	sample
1	J20	sample
1	J21	sample
1	J22	sample
1	J03	sample
1	J04	sample
1	J05	sample
1	J06	sample
1	J07	sample
1	J08	sample
1	J09	sample
1	K01	sample
1	K10	sample
1	K11	sample
1	K12	sample
1	K13	sample
1	K14	sample
1	K15	sample
1	K16	sample
1	K17	sample
1	K18	sample
1	K19	sample
1	K02	sample
1	K20	sample
1	K21	sample
1	K22	sample
1	K03	sample
1	K04	sample
1	K05	sample
1	K06	sample
1	K07	sample
1	K08	sample
1	K09	sample
1	L01	sample
1	L10	sample
1	L11	sample
1	L12	sample
1	L13	sample
1	L14	sample
1	L15	sample
1	L16	sample
1	L17	sample
1	L18	sample
1	L19	sample
1	L02	sample
1	L20	sample
1	L21	sample
1	L22	sample
1	L03	sample
1	L04	sample
1	L05	sample
1	L06	sample
1	L07	sample
1	L08	sample
1	L09	sample
1	M01	sample
1	M10	sample
1	M11	sample
1	M12	sample
1	M13	sample
1	M14	sample
1	M15	sample
1	M16	sample
